epoch,loss,output_a_loss,output_a_masked_loss,output_b_loss,output_b_masked_loss,val_loss,val_output_a_loss,val_output_a_masked_loss,val_output_b_loss,val_output_b_masked_loss
0,1651736.75,980834.125,894431.625,670902.625,628559.9375,54406.21875,27203.109375,27203.109375,27203.109375,27203.109375
1,1483994.25,839921.0625,732744.5625,644073.125,703182.875,54406.21875,27203.109375,27203.109375,27203.109375,27203.109375
2,606676.875,462347.125,432134.5,144329.78125,143326.75,54406.21875,27203.109375,27203.109375,27203.109375,27203.109375
3,370006.375,250660.40625,259325.3125,119346.0,109106.8359375,54406.21875,27203.109375,27203.109375,27203.109375,27203.109375
4,631048.375,165136.921875,164807.84375,465911.4375,385952.09375,54406.21875,27203.109375,27203.109375,27203.109375,27203.109375
5,230237.09375,129930.8984375,116257.5390625,100306.203125,105490.4609375,54406.21875,27203.109375,27203.109375,27203.109375,27203.109375
6,220430.796875,117081.046875,106502.015625,103349.75,97384.046875,54406.21875,27203.109375,27203.109375,27203.109375,27203.109375
7,226008.90625,147358.1875,127552.5546875,78650.71875,76351.375,54406.21875,27203.109375,27203.109375,27203.109375,27203.109375
8,204820.796875,136769.34375,150961.09375,68051.4453125,64616.19921875,54406.21875,27203.109375,27203.109375,27203.109375,27203.109375
9,143055.796875,72261.6875,69537.8984375,70794.109375,67332.015625,54406.21875,27203.109375,27203.109375,27203.109375,27203.109375
10,173155.5625,66389.421875,61434.1796875,106766.15625,95112.84375,54406.21875,27203.109375,27203.109375,27203.109375,27203.109375
11,188628.84375,123907.0390625,109971.09375,64721.8046875,60390.3515625,54406.21875,27203.109375,27203.109375,27203.109375,27203.109375
